PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;us-east-1;2026-07-10 16:06:08.494244;A.10.1.B;Cryptographic Controls;Detect use of insecure ciphers on ELBs;A.10 Cryptography;A.10.1.B;Cryptographic Controls;Detect use of insecure ciphers on ELBs;FAIL;CloudFront Distribution E9RGNANRAOBK0 uses the default CloudFront certificate, which pins the security policy to TLSv1 and cannot enable post-quantum TLS.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_pqc_tls_enabled;False;E9RGNANRAOBK0;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-south-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-south-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-southeast-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-southeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ap-southeast-2;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-southeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;ca-central-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ca-central-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;eu-central-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-central-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;162665602291;eu-north-1;2026-07-10 16:06:08.494244;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
